TPS_Num,File,Location,Year,Sex,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
181,'25743j.JPG',IOWA,OLD,,25743j.JPG,18.30696,4.48392,20.80596,3.3558,21.76272,3.7842,21.40572,4.5696,23.59056,4.39824,26.40372,6.44028,26.11812,5.84052,28.90272,6.2118,29.97372,5.59776,29.00268,4.9266,29.03764527,2.378318719,24.633,2.24196,19.03524,2.88456,19.33512,3.89844,20.83452,3.68424,21.26292,4.09836,23.21928,4.0698,24.87576,5.01228,25.54692,5.94048,28.40292,4.44108,28.03164,3.47004,28.46004,2.67036,16.32204,6.48312,17.50728,5.44068
180,'25756j.JPG',IOWA,OLD,,25756j.JPG,20.74884,4.7838,23.205,3.39864,24.0618,3.41292,23.66196,4.284,25.73256,4.3554,27.73176,5.55492,27.74604,5.22648,30.00228,5.7834,31.25892,5.18364,30.44496,4.68384,30.38784,2.6418,26.53224,2.38476,21.60564,2.7846,21.69132,4.1412,22.60524,3.6414,23.43348,3.86988,25.37556,3.59856,26.44656,4.38396,27.14628,5.05512,29.81664,4.01268,29.5596,3.15588,30.10224,2.75604,19.22088,6.62592,20.349,5.2122
176,'25757j.JPG',IOWA,OLD,,25757j.JPG,20.401108,4.432428,23.1322,3.596684,24.057488,3.939936,23.744084,4.730908,26.027456,4.790604,29.653988,7.0889,29.40028,6.3427,31.728424,6.3427,32.996964,5.715892,32.0866,5.193552,31.63888,2.552004,26.803504,2.552004,21.386092,2.656472,21.595028,4.059328,22.7591,3.910088,23.564996,4.357808,25.564812,4.238416,27.176604,5.37264,28.385448,6.521788,31.221008,4.77568,30.74344,4.074252,30.982224,2.969876,18.416216,5.536804,19.983236,4.536896
177,'25760j.JPG',IOWA,OLD,,25760j.JPG,19.99146,4.968027,22.602285,3.908778,23.303478,4.057968,23.228883,4.863594,25.794951,4.893432,28.271505,6.86274,28.361019,6.340575,31.106115,6.56436,32.433906,5.743815,31.300062,5.341002,31.195629,2.700339,26.645334,2.68542,20.812005,2.968881,20.812005,4.609971,21.990606,4.147482,22.930503,4.371267,24.780459,4.207158,26.302197,5.296245,27.167499,6.191385,30.494436,4.77408,29.98719,3.550722,30.569031,2.760015,18.022152,6.847821,19.573728,5.430516
179,'25765j.JPG',IOWA,OLD,F,25765j.JPG,18.93528,4.22688,21.32004,3.39864,22.29108,3.79848,21.81984,4.48392,23.7048,4.3554,27.4176,6.426,26.87496,5.82624,29.30256,5.79768,30.2736,5.355,29.47392,4.74096,29.38537638,2.265656007,25.04712,2.32764,19.96344,2.499,19.54932,3.89844,20.67744,3.54144,21.53424,3.96984,23.23356,3.98412,24.61872,4.66956,25.94676,5.91192,28.71708,4.11264,28.43148,3.22728,28.81704,2.51328,16.90752,6.12612,18.07848,5.04084
183,'25770j.JPG',IOWA,OLD,F,25770j.JPG,20.096441,4.351647,22.81446,3.070094,23.687606,3.534833,23.589025,4.337564,25.842305,4.436145,28.672988,6.083856,28.757486,5.562785,31.503671,6.140188,32.799307,5.464204,31.757165,4.886801,31.278343,2.436359,26.870364,2.225114,21.1245,2.450442,21.293496,3.830576,22.490551,3.492584,23.363697,3.858742,25.391649,3.689746,26.89853,4.745971,27.842091,5.619117,31.179762,4.309398,30.672774,3.323588,30.827687,2.760268,18.110738,6.309184,19.758449,4.633307
186,'25774j.JPG',IOWA,OLD,,25774j.JPG,32.87368,10.09192,35.87128,8.673056,36.550736,8.972816,36.151056,9.812144,38.549136,9.69224,40.947216,11.250992,40.947216,10.811344,43.525152,11.171056,44.704208,10.471616,43.724992,10.031968,43.30690077,7.756539231,39.508368,7.533968,33.912848,8.233408,33.752976,9.632288,34.991984,9.112704,35.991184,9.352512,37.809728,8.9928,39.4684,10.071936,40.147856,10.831328,42.705808,9.212624,42.31539876,8.488772459,42.705808,7.973616,30.935232,11.810544,32.314128,10.511584
185,'25784j.JPG',IOWA,OLD,,25784j.JPG,24.9369,4.77225,27.2867961,3.79479083,28.5123,4.04505,28.22445,4.92375,30.4212,4.95405,33.7845,6.8781,33.6936,6.46905,36.2085,6.46905,37.34475,5.7873,36.49635,5.25705,36.3903,2.77245,31.6938,2.6361,25.95195,2.8785,25.46715,4.6662,26.25495,4.2723,27.876,4.46925,29.61825,4.4238,31.2393,5.1813,32.5422,6.34785,35.73885,4.71165,35.2995,3.6663,35.79945,2.92395,22.3917,6.8781,24.10365,5.34795
184,'25788j.JPG',IOWA,OLD,,25788j.JPG,22.779852,4.014007,25.417214,2.767781,26.199728,3.18802,25.996854,4.086462,28.329905,4.028498,31.112177,6.37604,31.097686,5.709454,33.47421,5.984783,34.532053,5.260233,33.546665,4.92694,33.3293,2.405506,29.460203,2.17365,24.026078,2.072213,23.663803,3.637241,24.562245,3.303948,25.721525,3.521313,27.402481,3.564786,29.083437,4.376282,30.112298,5.376161,32.923552,4.245863,32.677205,3.245984,33.140917,2.535925,20.490274,6.303585,22.127757,4.680593
187,'25789j.JPG',IOWA,OLD,,25789j.JPG,27.896492,23.5248,30.562636,22.309352,31.3664,22.44658,31.07234,23.446384,33.385612,23.407176,36.443836,25.151932,36.345816,24.544208,39.286416,25.112724,40.345032,24.328564,39.227604,23.858068,39.01196,21.544796,34.424624,21.211528,28.955108,21.584004,28.759068,23.171928,29.778476,22.701432,30.797884,22.858264,32.621056,22.74064,34.150168,23.5248,35.38522,24.367772,38.306216,23.191532,37.914136,22.25054,38.404236,21.584004,25.818468,25.700844,27.190748,24.191336
